public_code,name_client,name_technical,short_description,visual_description,initial_position,final_position,key_action,recommended_view,exercise_family,category,body_zone,primary_muscle,secondary_muscles,movement_pattern,material_required,difficulty,intensity,impact_level,technical_risk,space_needed,duration_estimate_seconds,reps_estimate,suitable_for,avoid_if,status,source,notes
Z50-EJ-0096,Relajación progresiva de manos,Contracción-relajación de manos y antebrazos,"Persona cierra puños suavemente, mantiene y abre manos","Persona cierra puños suavemente, mantiene y abre manos","Sentado, brazos relajados","Manos abiertas, antebrazos sueltos",Tensar y soltar,Frontal / detalle,strength,Relajación / control tensión,Relajación,Antebrazo,"{""Manos""}",Relajación muscular progresiva,"{""Sin material""}",beginner,low,low,medium,low,1,,"{""General""}",{},draft,https://www.nhsinform.scot/healthy-living/mental-wellbeing/breathing-and-relaxation-exercises/,Sencillo para iniciar secuencias de relajación
Z50-EJ-0097,Gato-camello,Cat-cow / movilidad de columna en cuadrupedia,Persona en cuadrupedia alterna extensión y flexión de columna con respiración,Persona en cuadrupedia alterna extensión y flexión de columna con respiración,"Cuadrupedia, manos bajo hombros, rodillas bajo caderas",Alterna pecho abierto y espalda redondeada,Movilizar columna,Lateral 3/4,mobility,Movilidad / calentamiento,Movilidad,Columna,"{""Core""}",Movilidad espinal,"{""Sin material"",""esterilla""}",beginner,low,low,medium,low,5,,"{""General"",""senior"",""pilates-yoga""}",{},draft,https://www.acefitness.org/resources/everyone/blog/6015/10-minute-foundational-yoga-routine/,Ejercicio clave para movilidad suave
Z50-EJ-0098,Postura del niño,Child's pose / postura del niño,Persona sentada sobre talones lleva brazos al frente y relaja espalda,Persona sentada sobre talones lleva brazos al frente y relaja espalda,"Rodillas en suelo, glúteos hacia talones","Tronco relajado hacia el suelo, brazos extendidos",Relajar y respirar,Lateral 3/4,yoga,Relajación / movilidad,Yoga / estiramiento,Espalda,"{""Cadera"",""hombros""}",Flexión / descarga,"{""Sin material"",""esterilla""}",beginner,low,low,medium,low,30,,"{""General""}",{},draft,https://www.acefitness.org/resources/everyone/blog/6015/10-minute-foundational-yoga-routine/,Muy visual para vuelta a la calma
Z50-EJ-0099,Enhebrar la aguja,Thread the needle / rotación torácica en cuadrupedia,Persona en cuadrupedia pasa un brazo bajo el cuerpo rotando la espalda,Persona en cuadrupedia pasa un brazo bajo el cuerpo rotando la espalda,"Cuadrupedia, una mano apoyada",Hombro y brazo deslizan bajo el cuerpo con rotación,Rotar columna torácica,Lateral 3/4,mobility,Movilidad torácica,Movilidad,Espalda alta,"{""Hombro""}",Rotación torácica,"{""Sin material"",""esterilla""}",beginner,low,low,medium,low,30,,"{""General"",""postura""}",{},draft,https://www.acefitness.org/resources/everyone/exercise-library/,Buena para higiene postural
Z50-EJ-0100,Estiramiento cervical lateral,Inclinación lateral de cuello,Persona sentada inclina la cabeza suavemente hacia un lado,Persona sentada inclina la cabeza suavemente hacia un lado,"Sentado erguido, hombros bajos",Oreja se aproxima al hombro sin girar la cabeza,Inclinar cuello,Frontal,stretching,Descarga cervical,Estiramiento,Cuello,"{""Trapecio superior""}",Estiramiento estático,"{""Sin material""}",beginner,low,low,medium,low,20,,"{""General"",""oficina""}",{},draft,https://www.acefitness.org/resources/everyone/blog/6499/flexibility-exercises-for-beginners/,Sin forzar ni tirar fuerte de la cabeza
Z50-EJ-0101,Estiramiento de pectoral en puerta,Apertura de pectoral con apoyo en marco de puerta,Persona apoya antebrazo en pared/puerta y gira el tronco suavemente,Persona apoya antebrazo en pared/puerta y gira el tronco suavemente,"De pie junto a puerta, antebrazo apoyado",Pecho abierto y hombro en extensión suave,Abrir pecho,Frontal 3/4,yoga,Postura / movilidad hombro,Estiramiento,Pectoral,"{""Hombro""}",Estiramiento estático,"{""Pared"",""puerta""}",beginner,low,low,medium,low,20,,"{""General"",""oficina""}",{},draft,https://www.acefitness.org/resources/everyone/blog/6499/flexibility-exercises-for-beginners/,Muy útil para personas sentadas muchas horas
Z50-EJ-0102,Estiramiento dorsal con silla,Estiramiento de dorsal ancho apoyado en silla,Persona apoya manos en silla y lleva cadera atrás alargando espalda,Persona apoya manos en silla y lleva cadera atrás alargando espalda,"De pie frente a silla, manos apoyadas",Tronco largo y cadera atrás,Alargar dorsal,Lateral,yoga,Movilidad / postura,Estiramiento,Dorsal,"{""Hombros"",""espalda""}",Estiramiento activo,"{""Silla""}",beginner,low,low,medium,low,30,,"{""General""}",{},draft,https://www.acefitness.org/resources/everyone/blog/6499/flexibility-exercises-for-beginners/,Material casero fácil
Z50-EJ-0103,Rotación torácica libro abierto,Open book / rotación torácica tumbado lateral,Persona tumbada de lado abre el brazo superior rotando el tronco,Persona tumbada de lado abre el brazo superior rotando el tronco,"Tumbado lateral, rodillas flexionadas, brazos al frente",Brazo superior abre hacia atrás con mirada acompañando,Rotar tronco,Superior / lateral,yoga,Movilidad / postura,Movilidad,Columna torácica,"{""Pectoral"",""hombro""}",Rotación torácica,"{""Sin material"",""esterilla""}",beginner,low,low,medium,low,6,,"{""General""}",{},draft,https://www.acefitness.org/resources/everyone/exercise-library/,Excelente para desbloquear espalda alta
Z50-EJ-0104,Estiramiento flexor de cadera arrodillado,Estiramiento de psoas en media rodilla,Persona en zancada arrodillada lleva cadera suavemente hacia delante,Persona en zancada arrodillada lleva cadera suavemente hacia delante,"Media rodilla, una pierna delante y otra apoyada atrás",Cadera avanza manteniendo tronco erguido,Alargar flexor de cadera,Lateral 3/4,yoga,Movilidad cadera / postura,Estiramiento,Flexores de cadera,"{""Cuádriceps""}",Estiramiento estático,"{""Sin material"",""esterilla""}",beginner,low,low,medium,low,20,,"{""General""}",{},draft,https://www.acefitness.org/resources/everyone/blog/6499/flexibility-exercises-for-beginners/,Muy útil para clientes con mucha sedestación
Z50-EJ-0105,Estiramiento isquios con toalla,Estiramiento de isquiotibiales tumbado con toalla,Persona tumbada eleva una pierna usando una toalla como ayuda,Persona tumbada eleva una pierna usando una toalla como ayuda,"Tumbado boca arriba, toalla en planta del pie",Pierna elevada con rodilla extendida o semiflexionada,Alargar isquios,Lateral,stretching,Movilidad posterior,Estiramiento,Isquiotibiales,"{""Gemelos""}",Estiramiento asistido,"{""Toalla""}",beginner,low,low,medium,low,20,,"{""General"",""senior""}",{},draft,https://www.acefitness.org/resources/everyone/blog/6499/flexibility-exercises-for-beginners/,Material casero ideal
Z50-EJ-0106,Estiramiento gemelo en pared,Estiramiento de gemelo contra pared,Persona apoya manos en pared y aleja una pierna atrás con talón al suelo,Persona apoya manos en pared y aleja una pierna atrás con talón al suelo,"De pie frente a pared, pierna posterior extendida","Talón posterior apoyado, tensión en gemelo",Alargar gemelo,Lateral,stretching,Movilidad tobillo,Estiramiento,Gemelos,"{""Sóleo""}",Estiramiento estático,"{""Pared""}",beginner,low,low,medium,low,20,,"{""General"",""corredores""}",{},draft,https://www.acefitness.org/resources/everyone/blog/6499/flexibility-exercises-for-beginners/,Muy fácil para redes
Z50-EJ-0107,Estiramiento cuádriceps lateral,Estiramiento de cuádriceps tumbado de lado,Persona tumbada lateral sujeta el pie superior hacia el glúteo,Persona tumbada lateral sujeta el pie superior hacia el glúteo,"Tumbado de lado, rodillas alineadas",Talón se aproxima al glúteo manteniendo cadera neutra,Alargar cuádriceps,Lateral,stretching,Movilidad tren inferior,Estiramiento,Cuádriceps,"{""Flexores cadera""}",Estiramiento estático,"{""Sin material"",""esterilla""}",beginner,low,low,medium,low,20,,"{""General""}",{},draft,https://www.acefitness.org/resources/everyone/blog/6499/flexibility-exercises-for-beginners/,Evitar arquear lumbar
Z50-EJ-0108,Figura 4 glúteo,Estiramiento de piriforme/glúteo en figura 4,Persona tumbada cruza un tobillo sobre la rodilla contraria y acerca piernas,Persona tumbada cruza un tobillo sobre la rodilla contraria y acerca piernas,"Tumbado boca arriba, tobillo cruzado sobre rodilla",Piernas se acercan al pecho con tensión en glúteo,Alargar glúteo,Lateral 3/4,stretching,Movilidad cadera / descarga lumbar,Estiramiento,Glúteo,"{""Piriforme""}",Estiramiento estático,"{""Sin material"",""esterilla""}",beginner,low,low,medium,low,20,,"{""General""}",{},draft,https://www.acefitness.org/resources/everyone/blog/6499/flexibility-exercises-for-beginners/,Muy útil en rutinas de vuelta a la calma
Z50-EJ-0109,Mariposa sentada,Estiramiento de aductores en mariposa,Persona sentada junta plantas de pies y deja caer rodillas hacia fuera,Persona sentada junta plantas de pies y deja caer rodillas hacia fuera,"Sentado, plantas de pies juntas",Rodillas abren hacia el suelo con espalda larga,Abrir cadera,Frontal 3/4,stretching,Movilidad cadera,Estiramiento,Aductores,"{""Cadera""}",Estiramiento estático,"{""Sin material"",""esterilla""}",beginner,low,low,medium,low,30,,"{""General""}",{},draft,https://www.acefitness.org/resources/everyone/blog/6499/flexibility-exercises-for-beginners/,Visual y sencillo
Z50-EJ-0110,Torsión lumbar tumbado,Rotación lumbar supina,Persona tumbada deja caer rodillas hacia un lado manteniendo hombros en suelo,Persona tumbada deja caer rodillas hacia un lado manteniendo hombros en suelo,"Tumbado boca arriba, brazos en cruz, rodillas flexionadas",Rodillas caen a un lado y tronco rota suavemente,Rotar columna,Superior,stretching,Relajación / movilidad lumbar,Estiramiento / movilidad,Lumbar,"{""Glúteo"",""oblicuos""}",Rotación lumbar,"{""Sin material"",""esterilla""}",beginner,low,low,medium,low,30,,"{""General""}",{},draft,https://www.acefitness.org/resources/everyone/blog/6015/10-minute-foundational-yoga-routine/,"Suave, sin dolor"
Z50-EJ-0111,Pelvic curl,Puente articulado de Pilates,Persona tumbada eleva pelvis vértebra a vértebra y baja controlando,Persona tumbada eleva pelvis vértebra a vértebra y baja controlando,"Tumbado boca arriba, rodillas flexionadas, pies apoyados",Cadera elevada con columna articulada,Articular columna,Lateral,pilates,Control lumbo-pélvico,Pilates,Glúteo,"{""Isquios"",""core""}",Extensión de cadera / control,"{""Sin material"",""esterilla""}",beginner,low,low,medium,low,8,,"{""General"",""pilates""}",{},draft,https://www.acefitness.org/resources/everyone/exercise-library/,Muy bueno para base de Pilates
Z50-EJ-0112,The Hundred preparación,Hundred básico de Pilates con rodillas flexionadas,Persona tumbada mantiene piernas en mesa y bombea brazos con respiración,Persona tumbada mantiene piernas en mesa y bombea brazos con respiración,"Tumbado boca arriba, piernas en tabletop o pies apoyados",Brazos bombean cortos manteniendo core activo,Bombeo + respiración,Lateral 3/4,breathing,Core / resistencia,Pilates,Abdominales,"{""Flexores cadera""}",Core isométrico / respiración,"{""Sin material"",""esterilla""}",beginner,medium,low,medium,low,30,,"{""General"",""pilates""}",{},draft,https://www.acefitness.org/resources/everyone/exercise-library/,Empezar con versión modificada
Z50-EJ-0113,Single leg stretch,Estiramiento de una pierna de Pilates,Persona tumbada alterna piernas acercando una rodilla al pecho,Persona tumbada alterna piernas acercando una rodilla al pecho,"Tumbado, cabeza y hombros elevados, una rodilla al pecho",Alterna piernas manteniendo abdomen activo,Alternar piernas,Lateral 3/4,pilates,Core / coordinación,Pilates,Abdominales,"{""Flexores cadera""}",Core dinámico,"{""Sin material"",""esterilla""}",intermediate,medium,low,medium,low,8,,"{""General"",""pilates""}",{},draft,https://www.acefitness.org/resources/everyone/exercise-library/,Adaptar bajando cabeza si hay tensión cervical
Z50-EJ-0114,Double leg stretch,Estiramiento doble de piernas de Pilates,Persona extiende brazos y piernas desde posición agrupada y vuelve,Persona extiende brazos y piernas desde posición agrupada y vuelve,"Tumbado, rodillas al pecho, manos cerca de tibias",Brazos y piernas se extienden y vuelven al centro,Extender y recoger,Lateral 3/4,pilates,Core / control,Pilates,Abdominales,"{""Flexores cadera""}",Core dinámico,"{""Sin material"",""esterilla""}",intermediate,medium,low,medium,low,8,,"{""General"",""pilates""}",{},draft,https://www.acefitness.org/resources/everyone/exercise-library/,Controlar zona lumbar
Z50-EJ-0115,Círculos de pierna,Single leg circle de Pilates,Persona tumbada dibuja círculos con una pierna elevada,Persona tumbada dibuja círculos con una pierna elevada,"Tumbado boca arriba, una pierna elevada",Pierna dibuja círculo controlado sin mover pelvis,Circular pierna,Superior / lateral,pilates,Movilidad cadera / core,Pilates,Core,"{""Flexores cadera"",""aductores""}",Control lumbo-pélvico,"{""Sin material"",""esterilla""}",beginner,low,low,medium,low,5,,"{""General"",""pilates""}",{},draft,https://www.acefitness.org/resources/everyone/exercise-library/,Círculos pequeños al inicio
Z50-EJ-0116,Clam Pilates,Apertura de cadera lateral estilo Pilates,Persona tumbada de lado abre rodilla superior manteniendo pies juntos,Persona tumbada de lado abre rodilla superior manteniendo pies juntos,"Tumbado lateral, rodillas flexionadas, pelvis estable",Rodilla superior abre sin rotar pelvis,Abrir cadera,Lateral,pilates,Activación glútea,Pilates,Glúteo medio,"{""Core""}",Abducción de cadera,"{""Sin material"",""minibanda opcional""}",beginner,low,low,medium,low,10,,"{""General"",""pilates""}",{},draft,https://www.acefitness.org/resources/everyone/exercise-library/,Puede progresar con minibanda
Z50-EJ-0117,Patada lateral Pilates,Side kick de Pilates,Persona tumbada de lado mueve la pierna superior adelante y atrás controlada,Persona tumbada de lado mueve la pierna superior adelante y atrás controlada,"Tumbado lateral, pierna superior extendida",Pierna se desplaza en rango controlado sin mover tronco,Mover pierna adelante/atrás,Lateral,pilates,Cadera / control core,Pilates,Glúteo medio,"{""Core"",""flexores cadera""}",Control lateral,"{""Sin material"",""esterilla""}",intermediate,medium,low,medium,low,8,,"{""General"",""pilates""}",{},draft,https://www.acefitness.org/resources/everyone/exercise-library/,Mantener pelvis estable
Z50-EJ-0118,Swimming Pilates,Swimming / natación de Pilates,Persona boca abajo alterna elevación de brazo y pierna contraria,Persona boca abajo alterna elevación de brazo y pierna contraria,"Prono, brazos extendidos, piernas largas",Brazos y piernas alternan elevaciones pequeñas,Alternar extensión,Lateral 3/4,pilates,Core posterior / postura,Pilates,Lumbar,"{""Glúteo"",""hombro""}",Extensión posterior alterna,"{""Sin material"",""esterilla""}",intermediate,medium,low,medium,low,20,,"{""General"",""pilates""}",{},draft,https://www.acefitness.org/resources/everyone/exercise-library/,Evitar dolor lumbar
Z50-EJ-0119,Spine stretch forward,Flexión de columna sentada de Pilates,Persona sentada con piernas abiertas flexiona columna hacia delante,Persona sentada con piernas abiertas flexiona columna hacia delante,"Sentado, piernas abiertas, brazos al frente",Columna se flexiona hacia delante de forma controlada,Flexionar columna,Lateral 3/4,breathing,Movilidad columna / respiración,Pilates / movilidad,Columna,"{""Isquios""}",Flexión espinal,"{""Sin material"",""esterilla""}",beginner,low,low,medium,low,6,,"{""General"",""pilates""}",{},draft,https://www.acefitness.org/resources/everyone/exercise-library/,Combinar con exhalación
Z50-EJ-0120,Mermaid Pilates,Estiramiento lateral Mermaid,Persona sentada lateralmente alarga un brazo por encima de la cabeza,Persona sentada lateralmente alarga un brazo por encima de la cabeza,Sentado con piernas ladeadas o cruzadas,Tronco se inclina lateralmente alargando costado,Flexionar lateral,Frontal 3/4,breathing,Movilidad lateral / respiración,Pilates / estiramiento,Oblicuos,"{""Dorsal"",""cadera""}",Flexión lateral,"{""Sin material"",""esterilla""}",beginner,low,low,medium,low,30,,"{""General"",""pilates-yoga""}",{},draft,https://www.acefitness.org/resources/everyone/exercise-library/,Muy visual para carteles
Z50-EJ-0121,Pelota Pilates entre rodillas,Activación aductores con pelota de Pilates,Persona tumbada aprieta una pelota pequeña entre las rodillas,Persona tumbada aprieta una pelota pequeña entre las rodillas,"Tumbado boca arriba, rodillas flexionadas, pelota entre rodillas",Rodillas presionan la pelota suavemente,Apretar y soltar,Frontal / superior,pilates,Activación / control pelvis,Pilates,Aductores,"{""Core profundo""}",Activación isométrica,"{""Pelota Pilates""}",beginner,low,low,medium,low,8,,"{""General"",""pilates"",""senior""}",{},draft,https://www.acefitness.org/resources/everyone/exercise-library/,Material barato y muy útil
Z50-EJ-0122,Dead bug con pelota Pilates,Dead bug presionando pelota entre manos y rodillas,Persona tumbada mantiene pelota entre manos y rodillas mientras extiende brazo/pierna contrarios,Persona tumbada mantiene pelota entre manos y rodillas mientras extiende brazo/pierna contrarios,"Tumbado, caderas y rodillas a 90°, pelota entre manos y rodillas",Extiende brazo y pierna opuestos sin perder presión,Estabilizar y extender,Lateral 3/4,pilates,Core seguro / control,Pilates / core,Abdominales profundos,"{""Flexores cadera""}",Core anti-extensión,"{""Pelota Pilates""}",beginner,medium,low,medium,low,8,,"{""General"",""readaptación""}",{},draft,https://www.acefitness.org/resources/everyone/exercise-library/,Excelente para control lumbo-pélvico
Z50-EJ-0123,Montaña,Tadasana / postura de la montaña,Persona de pie alineada con brazos relajados y respiración consciente,Persona de pie alineada con brazos relajados y respiración consciente,"De pie, pies paralelos, columna larga",Cuerpo alineado y estable,Alinear y respirar,Frontal,yoga,Postura / conciencia corporal,Yoga,Postura global,"{""Pies"",""core""}",Postura estática,"{""Sin material""}",beginner,low,low,medium,low,30,,"{""General"",""yoga""}",{},draft,https://www.acefitness.org/resources/everyone/blog/6015/10-minute-foundational-yoga-routine/,Base para secuencias de yoga
Z50-EJ-0124,Silla yoga,Utkatasana / postura de la silla,Persona flexiona rodillas como sentadilla suave con brazos arriba,Persona flexiona rodillas como sentadilla suave con brazos arriba,"De pie, pies paralelos","Rodillas flexionadas, cadera atrás, brazos elevados",Sostener sentadilla,Lateral 3/4,yoga,Fuerza resistencia / movilidad,Yoga,Cuádriceps,"{""Glúteo"",""core""}",Sentadilla isométrica,"{""Sin material""}",beginner,medium,low,medium,low,20,,"{""General"",""yoga""}",{},draft,https://www.acefitness.org/resources/everyone/blog/6015/10-minute-foundational-yoga-routine/,Visual y transferible a retos
Z50-EJ-0125,Perro boca abajo,Adho mukha svanasana / perro boca abajo,Persona forma una V invertida apoyando manos y pies,Persona forma una V invertida apoyando manos y pies,Desde cuadrupedia o plancha,"Cadera elevada, columna larga, talones hacia suelo",Empujar suelo y alargar,Lateral 3/4,yoga,Movilidad / fuerza suave,Yoga / movilidad,Espalda,"{""Isquios"",""hombros"",""gemelos""}",Movilidad global,"{""Sin material"",""esterilla""}",beginner,medium,low,medium,low,30,,"{""General"",""yoga""}",{},draft,https://www.acefitness.org/resources/everyone/blog/6015/10-minute-foundational-yoga-routine/,Puede flexionar rodillas
Z50-EJ-0126,Cobra suave,Bhujangasana / cobra baja,Persona boca abajo eleva pecho con apoyo de manos suave,Persona boca abajo eleva pecho con apoyo de manos suave,"Prono, manos bajo hombros","Pecho se eleva, pelvis permanece apoyada",Extender columna,Lateral 3/4,yoga,Movilidad anterior / postura,Yoga / movilidad,Espalda,"{""Pectoral"",""abdomen""}",Extensión de columna,"{""Sin material"",""esterilla""}",beginner,low,low,medium,low,15,,"{""General"",""yoga""}",{},draft,https://www.acefitness.org/resources/everyone/blog/6015/10-minute-foundational-yoga-routine/,No forzar zona lumbar
Z50-EJ-0127,Esfinge,Sphinx pose / esfinge,Persona boca abajo apoya antebrazos y abre pecho suavemente,Persona boca abajo apoya antebrazos y abre pecho suavemente,"Prono, antebrazos apoyados bajo hombros",Pecho abierto con extensión suave,Extender columna torácica,Lateral 3/4,breathing,Movilidad / respiración,Yoga / movilidad,Espalda,"{""Pectoral""}",Extensión suave,"{""Sin material"",""esterilla""}",beginner,low,low,medium,low,30,,"{""General"",""yoga"",""senior""}",{},draft,https://www.acefitness.org/resources/everyone/blog/6015/10-minute-foundational-yoga-routine/,Alternativa suave a cobra
Z50-EJ-0128,Guerrero II,Virabhadrasana II / guerrero 2,Persona en zancada amplia abre brazos en cruz mirando al frente,Persona en zancada amplia abre brazos en cruz mirando al frente,"Piernas separadas, pie delantero al frente, trasero abierto","Rodilla delantera flexionada, brazos extendidos",Sostener y alinear,Frontal 3/4,yoga,Estabilidad / fuerza suave,Yoga,Tren inferior,"{""Hombros"",""core""}",Zancada isométrica,"{""Sin material""}",beginner,medium,low,medium,low,20,,"{""General"",""yoga""}",{},draft,https://www.acefitness.org/resources/everyone/blog/6015/10-minute-foundational-yoga-routine/,Muy visual para retos inspiradores
Z50-EJ-0129,Triángulo,Trikonasana / postura del triángulo,Persona con piernas abiertas inclina el tronco y extiende brazos verticales,Persona con piernas abiertas inclina el tronco y extiende brazos verticales,"Piernas abiertas, brazos en cruz",Mano hacia pierna/suelo y brazo superior al techo,Inclinar y abrir pecho,Frontal 3/4,yoga,Movilidad / equilibrio,Yoga / movilidad,Cadera,"{""Oblicuos"",""isquios""}",Flexión lateral / apertura,"{""Sin material""}",intermediate,low,low,medium,low,20,,"{""General"",""yoga""}",{},draft,https://www.acefitness.org/resources/everyone/blog/6015/10-minute-foundational-yoga-routine/,Usar bloque/silla si hace falta
Z50-EJ-0130,Zancada baja,Anjaneyasana / low lunge,Persona en zancada con rodilla trasera apoyada abre cadera y eleva brazos,Persona en zancada con rodilla trasera apoyada abre cadera y eleva brazos,Media rodilla con pie delantero apoyado,Cadera avanza y brazos suben,Alargar cadera,Lateral 3/4,yoga,Movilidad cadera,Yoga / estiramiento,Flexores de cadera,"{""Cuádriceps"",""core""}",Zancada / apertura cadera,"{""Sin material"",""esterilla""}",beginner,low,low,medium,low,20,,"{""General"",""yoga""}",{},draft,https://www.acefitness.org/resources/everyone/blog/6015/10-minute-foundational-yoga-routine/,Ideal para personas sedentarias
Z50-EJ-0131,Paloma modificada,Pigeon prep / paloma modificada,Persona apoya una pierna flexionada delante y extiende la otra atrás,Persona apoya una pierna flexionada delante y extiende la otra atrás,"Desde cuadrupedia, pierna delantera flexionada",Cadera desciende suavemente hacia el suelo,Abrir glúteo/cadera,Lateral 3/4,yoga,Movilidad cadera / relajación,Yoga / estiramiento,Glúteo,"{""Cadera""}",Apertura de cadera,"{""Sin material"",""esterilla""}",intermediate,low,low,medium,low,30,,"{""General"",""yoga""}",{},draft,https://www.acefitness.org/resources/everyone/blog/6015/10-minute-foundational-yoga-routine/,Evitar si molesta rodilla; usar figura 4 como alternativa
Z50-EJ-0132,Flexión sentada adelante,Paschimottanasana suave,Persona sentada alarga la espalda y flexiona hacia piernas,Persona sentada alarga la espalda y flexiona hacia piernas,"Sentado, piernas extendidas",Tronco se inclina hacia delante con columna larga,Alargar cadena posterior,Lateral,yoga,Movilidad posterior / relajación,Yoga / estiramiento,Isquiotibiales,"{""Espalda""}",Flexión anterior,"{""Sin material"",""toalla opcional""}",beginner,low,low,medium,low,30,,"{""General"",""yoga""}",{},draft,https://www.acefitness.org/resources/everyone/blog/6015/10-minute-foundational-yoga-routine/,Puede usar toalla en pies
Z50-EJ-0133,Bebé feliz,Happy baby / postura del bebé feliz,Persona tumbada sujeta pies o piernas con rodillas abiertas,Persona tumbada sujeta pies o piernas con rodillas abiertas,"Tumbado boca arriba, rodillas hacia pecho","Rodillas abiertas, pies hacia techo, espalda relajada",Abrir cadera,Superior,yoga,Relajación / movilidad,Yoga / relajación,Cadera,"{""Lumbar"",""aductores""}",Apertura de cadera,"{""Sin material"",""esterilla""}",beginner,low,low,medium,low,30,,"{""General"",""yoga""}",{},draft,https://www.acefitness.org/resources/everyone/blog/6015/10-minute-foundational-yoga-routine/,Muy útil para vuelta a la calma
Z50-EJ-0134,Piernas en la pared,Viparita karani / piernas elevadas en pared,Persona tumbada acerca glúteos a pared y eleva piernas apoyadas,Persona tumbada acerca glúteos a pared y eleva piernas apoyadas,Tumbado de lado junto a pared y girar al apoyo,"Piernas extendidas sobre pared, tronco relajado",Elevar piernas y respirar,Lateral,yoga,Relajación / recuperación,Yoga / relajación,Sistema circulatorio,"{""Isquios"",""lumbar""}",Relajación / descarga,"{""Pared""}",beginner,low,low,medium,low,3,,"{""General"",""estrés"",""senior""}",{},draft,https://www.nhsinform.scot/healthy-living/mental-wellbeing/breathing-and-relaxation-exercises/,Muy buena como recurso de recuperación
Z50-EJ-0135,Postura del cadáver,Savasana / relajación final,Persona tumbada boca arriba relajada con brazos y piernas sueltos,Persona tumbada boca arriba relajada con brazos y piernas sueltos,"Tumbado boca arriba, cuerpo cómodo",Mantener quietud con respiración natural,Relajar cuerpo,Superior,relaxation,Relajación / cierre sesión,Yoga / relajación,Sistema nervioso,"{""Respiración""}",Relajación estática,"{""Sin material"",""esterilla""}",beginner,low,low,medium,low,3,,"{""General""}",{},draft,https://www.acefitness.org/resources/everyone/blog/6015/10-minute-foundational-yoga-routine/,Clave para cierres y retos de bienestar
Z50-EJ-0136,Árbol,Vrksasana / postura del árbol,Persona de pie equilibra sobre una pierna con pie contrario apoyado en pierna,Persona de pie equilibra sobre una pierna con pie contrario apoyado en pierna,"De pie, peso sobre una pierna","Pie contrario se apoya en pantorrilla o muslo, manos juntas o brazos arriba",Equilibrar,Frontal,yoga,Equilibrio / concentración,Yoga / equilibrio,Equilibrio,"{""Glúteo medio"",""core""}",Equilibrio estático,"{""Sin material""}",beginner,low,low,medium,low,20,,"{""General"",""yoga""}",{},draft,https://www.acefitness.org/resources/everyone/blog/6015/10-minute-foundational-yoga-routine/,No apoyar pie sobre la rodilla
Z50-EJ-0137,Puerta yoga,Gate pose / parighasana,Persona arrodillada extiende una pierna lateral y alarga un brazo por encima,Persona arrodillada extiende una pierna lateral y alarga un brazo por encima,"De rodillas, una pierna extendida lateral",Tronco se inclina hacia la pierna extendida,Alargar costado,Frontal 3/4,yoga,Movilidad lateral,Yoga / movilidad,Oblicuos,"{""Aductores"",""dorsal""}",Flexión lateral,"{""Sin material"",""esterilla""}",beginner,low,low,medium,low,20,,"{""General"",""yoga""}",{},draft,https://www.acefitness.org/resources/everyone/blog/6015/10-minute-foundational-yoga-routine/,Buena variante visual
